"Message","Longitude","Latitude","Island"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it.",-22.7033,15.5266,"Ecliptria"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently.",-22.5646,15.6192,"Ecliptria"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. Still waiting for help—someone needs urgent medical care.",-22.848,15.6283,"Ecliptria"
"Road closures are in effect due to debris and fallen trees from the storm. Stay off the roads unless absolutely necessary.",-27.1905,15.932,"Paxora"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe. Medical supplies are gone. Can't treat wounds or illnesses. There's nothing left to eat. Everyone is hungry and exhausted.",-27.1581,15.4367,"Paxora"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. We lost everything, including our shelter. Nowhere to go. Out of fuel. We can't run the generator anymore.",-27.2812,15.4087,"Paxora"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. We're running out of food and have no idea when help will arrive.",-27.1053,15.6248,"Paxora"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. We lost everything, including our shelter. Nowhere to go.",-27.0266,15.8526,"Paxora"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. No food left. We're trying to ration what little we have.",-26.8139,15.9219,"Paxora"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power.",-27.3387,15.7113,"Paxora"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. We lost everything, including our shelter. Nowhere to go.",NA,NA,"Paxora"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. Our shelter didn't survive the storm. We're exposed to the elements. Running dangerously low on fuel. Trying to conserve what's left.",-26.7027,15.4198,"Paxora"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted.",-27.1849,15.2926,"Paxora"
"#IoSTSHelp We're running out of food and have no idea when help will arrive.",-26.8813,15.3306,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",-26.8579,15.5248,"Paxora"
"#IoSTSHelp No food left. We're trying to ration what little we have. Running dangerously low on fuel. Trying to conserve what's left. We have a medical emergency and no way to get help.",-27.0247,15.6732,"Paxora"
"Schools will remain closed tomorrow as cleanup continues. Let’s keep the community spirit strong.",-27.3476,15.9023,"Paxora"
"Thankful for the first responders and emergency crews working around the clock. Weather teams did a great job tracking this storm.",-26.9448,15.345,"Paxora"
"Community centers are opening for anyone in need after the storm. Please follow official channels for updates.",-27.1246,15.3005,"Paxora"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit.",-26.694,15.6378,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",-26.8639,15.5505,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",-26.8793,15.3357,"Paxora"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it.",-26.6427,15.5631,"Paxora"
"The storm has passed, and cleanup efforts are beginning across the region. Stay off the roads unless absolutely necessary.",-26.9727,15.365,"Paxora"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. Our shelter didn't survive the storm. We're exposed to the elements. Out of fuel. We can't run the generator anymore.",-27.3767,15.6122,"Paxora"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power.",-26.5303,15.5023,"Paxora"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply.",-26.877,15.6753,"Paxora"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. Shelter is damaged beyond use. We're trying to stay dry and safe. Someone here is badly injured. We need medical attention urgently.",-26.9523,15.4355,"Paxora"
"Volunteers are showing up in huge numbers to help with recovery efforts. More updates will follow as information becomes available.",-27.3202,15.5421,"Paxora"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Still waiting for help—someone needs urgent medical care. Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.9047,15.5218,"Paxora"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Food supplies are completely gone. We need assistance urgently.",-27.1454,15.6802,"Paxora"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps. Still waiting for help—someone needs urgent medical care. Can't reach anyone because we’re out of fuel and power.",-26.9629,15.4028,"Paxora"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe. We have a medical emergency and no way to get help. Running dangerously low on fuel. Trying to conserve what's left.",-26.7284,15.6456,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. Running dangerously low on fuel. Trying to conserve what's left. Still no place to sleep. We’re making do with broken walls and tarps.",-27.2689,15.8904,"Paxora"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening.",-27.2858,15.5361,"Paxora"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps. There's nothing left to eat. Everyone is hungry and exhausted.",-27.4202,15.5825,"Paxora"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. We're running out of food and have no idea when help will arrive. No access to medicine or care. We're worried someone might not make it.",-27.1672,15.4279,"Paxora"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently.",-26.8429,15.8182,"Paxora"
"Power crews are working hard to restore electricity after the storm. More updates will follow as information becomes available.",-25.6392,17.8594,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply.",-25.6275,17.7618,"Solvenya"
"Road closures are in effect due to debris and fallen trees from the storm. Weather teams did a great job tracking this storm.",-25.6725,17.8072,"Solvenya"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. Running dangerously low on fuel. Trying to conserve what's left. Someone here is badly injured. We need medical attention urgently.",-25.3767,17.8994,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. Medical supplies are gone. Can't treat wounds or illnesses. Food supplies are completely gone. We need assistance urgently.",-25.4399,17.8269,"Solvenya"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe. We're running out of food and have no idea when help will arrive. Running dangerously low on fuel. Trying to conserve what's left.",-25.2279,17.7649,"Solvenya"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. We lost everything, including our shelter. Nowhere to go. Food supplies are completely gone. We need assistance urgently.",-25.9541,17.8563,"Solvenya"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak.",-25.4254,17.8326,"Solvenya"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. Running dangerously low on fuel. Trying to conserve what's left. There's nothing left to eat. Everyone is hungry and exhausted.",-25.9213,17.8545,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. Still no place to sleep. We’re making do with broken walls and tarps. Medical supplies are gone. Can't treat wounds or illnesses.",-25.6792,17.8008,"Solvenya"
"Storm coverage continues—stay tuned for updates and official instructions. Stay off the roads unless absolutely necessary.",-26.9123,15.6693,"Paxora"
"The storm has passed, and cleanup efforts are beginning across the region. Please follow official channels for updates.",-27.0231,15.5786,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. No food left. We're trying to ration what little we have. Fuel is completely gone, and we're cut off from any resupply.",-26.994,15.3635,"Paxora"
"Volunteers are showing up in huge numbers to help with recovery efforts. Stay off the roads unless absolutely necessary.",-26.7055,15.7708,"Paxora"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. We lost everything, including our shelter. Nowhere to go. Someone here is badly injured. We need medical attention urgently.",-27.1427,15.4649,"Paxora"
"#IoSTSHelp We have a medical emergency and no way to get help.",-27.0824,15.5374,"Paxora"
"Thankful for the first responders and emergency crews working around the clock. More updates will follow as information becomes available.",-27.013,15.3144,"Paxora"
"Schools will remain closed tomorrow as cleanup continues. Weather teams did a great job tracking this storm.",-26.9338,15.5706,"Paxora"
"Volunteers are showing up in huge numbers to help with recovery efforts. It's going to take time, but recovery is underway.",-23.4231,14.1828,"Calmorra"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe. We have a medical emergency and no way to get help.",-23.3044,14.0821,"Calmorra"
"The storm has passed, and cleanup efforts are beginning across the region. Remember to check on neighbors, especially the elderly.",-23.3755,14.1411,"Calmorra"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. No fuel for cooking or heating. Conditions are worsening.",-23.39,14.1091,"Calmorra"
"Lots of damage in the area, but thankful everyone I know is safe. Weather teams did a great job tracking this storm.",-23.2389,14.1755,"Calmorra"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted.",-23.2783,14.1689,"Calmorra"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. We lost everything, including our shelter. Nowhere to go.",-23.5728,14.0477,"Calmorra"
"Storm coverage continues—stay tuned for updates and official instructions. It's going to take time, but recovery is underway.",-23.053,14.1493,"Calmorra"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. There's nothing left to eat. Everyone is hungry and exhausted. No access to medicine or care. We're worried someone might not make it.",-23.3852,14.2068,"Calmorra"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. Food supplies are completely gone. We need assistance urgently.",NA,NA,"Solvenya"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. We lost everything, including our shelter. Nowhere to go. Can't reach anyone because we’re out of fuel and power.",-25.4665,17.5918,"Solvenya"
"Road closures are in effect due to debris and fallen trees from the storm. Remember to check on neighbors, especially the elderly.",-26.2295,17.7929,"Solvenya"
"Road closures are in effect due to debris and fallen trees from the storm. More updates will follow as information becomes available.",-25.7368,17.8551,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left.",-25.688,17.7762,"Solvenya"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. No food left. We're trying to ration what little we have. We lost everything, including our shelter. Nowhere to go.",-26.107,17.914,"Solvenya"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power.",-25.4246,17.8576,"Solvenya"
"Storm coverage continues—stay tuned for updates and official instructions. Shelters remain open to those in need.",-26.2067,17.8437,"Solvenya"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. We're running out of food and have no idea when help will arrive.",-25.5858,17.6714,"Solvenya"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Running dangerously low on fuel. Trying to conserve what's left. We lost everything, including our shelter. Nowhere to go.",-26.2879,17.8527,"Solvenya"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it.",-25.8887,17.6004,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. Our shelter didn't survive the storm. We're exposed to the elements. No access to medicine or care. We're worried someone might not make it.",-25.5694,17.8415,"Solvenya"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. Still no place to sleep. We’re making do with broken walls and tarps.",-27.1073,15.752,"Paxora"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. No fuel for cooking or heating. Conditions are worsening.",-27.1774,16.1617,"Paxora"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps.",-27.0907,16.3189,"Paxora"
"The storm has passed, and cleanup efforts are beginning across the region. We're in this together, let's support one another.",-27.4556,15.9421,"Paxora"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. We're running out of food and have no idea when help will arrive.",-27.3334,16.1343,"Paxora"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power.",-27.3298,16.0142,"Paxora"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. Shelter is damaged beyond use. We're trying to stay dry and safe. No access to medicine or care. We're worried someone might not make it.",-26.978,14.4134,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. More updates will follow as information becomes available.",-27.058,14.1927,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. Please follow official channels for updates.",-27.0568,14.3457,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it.",-26.9472,14.2691,"Justitia"
"Road closures are in effect due to debris and fallen trees from the storm. Please follow official channels for updates.",-27.1829,14.6395,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore.",-26.9274,14.3687,"Justitia"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. Our shelter didn't survive the storm. We're exposed to the elements.",-27.1892,14.5023,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Fuel is completely gone, and we're cut off from any resupply. We lost everything, including our shelter. Nowhere to go.",-26.798,14.3949,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. Still waiting for help—someone needs urgent medical care. No food left. We're trying to ration what little we have.",-27.1219,14.7184,"Justitia"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe. No fuel for cooking or heating. Conditions are worsening. No food left. We're trying to ration what little we have.",-27.1153,14.9688,"Justitia"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. Out of fuel. We can't run the generator anymore.",-26.9969,14.7379,"Justitia"
"Lots of damage in the area, but thankful everyone I know is safe. Let’s keep the community spirit strong.",-27.1191,14.87,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. No access to medicine or care. We're worried someone might not make it. Can't reach anyone because we’re out of fuel and power.",-27.0785,14.2961,"Justitia"
"Thankful for the first responders and emergency crews working around the clock. Let’s keep the community spirit strong.",-26.8681,14.6366,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Fuel is completely gone, and we're cut off from any resupply. Food supplies are completely gone. We need assistance urgently.",-27.1709,14.8327,"Justitia"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. We've gone two days without a proper meal. People are getting weak.",-26.9598,14.2028,"Justitia"
"Thankful for the first responders and emergency crews working around the clock. Stay off the roads unless absolutely necessary.",-26.8232,14.3395,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help. Shelter is damaged beyond use. We're trying to stay dry and safe. Running dangerously low on fuel. Trying to conserve what's left.",-26.975,14.6064,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power.",-26.8524,14.6786,"Justitia"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. We lost everything, including our shelter. Nowhere to go.",-27.1592,14.8316,"Justitia"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Medical supplies are gone. Can't treat wounds or illnesses.",-27.1306,14.1906,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. Medical supplies are gone. Can't treat wounds or illnesses.",NA,NA,"Justitia"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. We have a medical emergency and no way to get help. Food supplies are completely gone. We need assistance urgently.",-27.15,14.6148,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore. Medical supplies are gone. Can't treat wounds or illnesses.",-26.9648,14.1753,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Still no place to sleep. We’re making do with broken walls and tarps.",-27.0722,14.7242,"Justitia"
"Road closures are in effect due to debris and fallen trees from the storm. Please follow official channels for updates.",-27.111,14.8775,"Justitia"
"Storm coverage continues—stay tuned for updates and official instructions. More updates will follow as information becomes available.",-27.0945,14.4842,"Justitia"
"Thankful for the first responders and emergency crews working around the clock. Shelters remain open to those in need.",-26.6254,14.5841,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore. Still no place to sleep. We’re making do with broken walls and tarps.",-26.9831,14.7361,"Justitia"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps. Can't reach anyone because we’re out of fuel and power.",-27.1626,14.3104,"Justitia"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. Still no place to sleep. We’re making do with broken walls and tarps. Still waiting for help—someone needs urgent medical care.",-27.0029,14.3354,"Justitia"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.7582,14.5572,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. We're running out of food and have no idea when help will arrive.",-27.0937,14.1531,"Justitia"
"The storm has passed, and cleanup efforts are beginning across the region. Shelters remain open to those in need.",-27.1585,14.4525,"Justitia"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. We lost everything, including our shelter. Nowhere to go. Still waiting for help—someone needs urgent medical care.",-26.9618,14.2887,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it.",-27.1671,14.6713,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.8324,14.6216,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit.",-27.1878,14.4726,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. We lost everything, including our shelter. Nowhere to go.",-27.147,14.2446,"Justitia"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. Our shelter didn't survive the storm. We're exposed to the elements. We have a medical emergency and no way to get help.",-27.0791,14.1661,"Justitia"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. Medical supplies are gone. Can't treat wounds or illnesses. No fuel for cooking or heating. Conditions are worsening.",-27.1625,14.2909,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. Can't reach anyone because we’re out of fuel and power.",-26.1251,17.9036,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left.",-26.4305,17.5052,"Solvenya"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. Food supplies are completely gone. We need assistance urgently.",-26.3612,17.8982,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. No roof over our heads. Sleeping outside since the storm hit.",-26.1638,17.8794,"Solvenya"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. Running dangerously low on fuel. Trying to conserve what's left. Someone here is badly injured. We need medical attention urgently.",-25.9907,17.4558,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. We have a medical emergency and no way to get help.",-26.236,17.4304,"Solvenya"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. We're running out of food and have no idea when help will arrive. Running dangerously low on fuel. Trying to conserve what's left.",-26.1325,17.7884,"Solvenya"
"#IoSTSHelp We're running out of food and have no idea when help will arrive.",-26.3048,17.8056,"Solvenya"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. There's nothing left to eat. Everyone is hungry and exhausted.",-25.7008,17.6757,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. There's nothing left to eat. Everyone is hungry and exhausted.",-26.4339,17.6406,"Solvenya"
"Community centers are opening for anyone in need after the storm. Stay off the roads unless absolutely necessary.",-25.9732,17.4051,"Solvenya"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. No food left. We're trying to ration what little we have. Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.0528,17.478,"Solvenya"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go.",-25.9314,17.4898,"Solvenya"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. Still waiting for help—someone needs urgent medical care. We've gone two days without a proper meal. People are getting weak.",-26.0979,17.7783,"Solvenya"
"Power crews are working hard to restore electricity after the storm. Shelters remain open to those in need.",-25.9396,17.403,"Solvenya"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. Still no place to sleep. We’re making do with broken walls and tarps. We've gone two days without a proper meal. People are getting weak.",-26.1654,17.7806,"Solvenya"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. Still no place to sleep. We’re making do with broken walls and tarps.",-26.1724,17.3562,"Solvenya"
"Community centers are opening for anyone in need after the storm. We're in this together, let's support one another.",-26.3245,17.6689,"Solvenya"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements.",-26.0787,17.8977,"Solvenya"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe. We've gone two days without a proper meal. People are getting weak.",-26.4166,17.5677,"Solvenya"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. We've gone two days without a proper meal. People are getting weak.",-25.7722,17.5843,"Solvenya"
"Lots of damage in the area, but thankful everyone I know is safe. Shelters remain open to those in need.",-25.8289,17.7971,"Solvenya"
"Lots of damage in the area, but thankful everyone I know is safe. Let’s keep the community spirit strong.",-25.304,17.6689,"Solvenya"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. Running dangerously low on fuel. Trying to conserve what's left. Our shelter didn't survive the storm. We're exposed to the elements.",-25.9704,17.3692,"Solvenya"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. Still no place to sleep. We’re making do with broken walls and tarps.",-25.1784,17.801,"Solvenya"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe. Fuel is completely gone, and we're cut off from any resupply. We're running out of food and have no idea when help will arrive.",-25.344,17.8525,"Solvenya"
"Floodwaters are starting to recede. Please stay cautious and avoid driving through water. Please follow official channels for updates.",-25.4578,17.7503,"Solvenya"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. There's nothing left to eat. Everyone is hungry and exhausted. Shelter is damaged beyond use. We're trying to stay dry and safe.",-25.6592,17.7851,"Solvenya"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Out of fuel. We can't run the generator anymore. Still no place to sleep. We’re making do with broken walls and tarps.",-25.1539,17.6602,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. No food left. We're trying to ration what little we have. Someone here is badly injured. We need medical attention urgently.",-25.7736,17.596,"Solvenya"
"Volunteers are showing up in huge numbers to help with recovery efforts. Hope everyone is staying safe and checking in on each other.",-25.7784,17.544,"Solvenya"
"Road closures are in effect due to debris and fallen trees from the storm. Let’s keep the community spirit strong.",-26.0038,17.5506,"Solvenya"
"Community centers are opening for anyone in need after the storm. Weather teams did a great job tracking this storm.",-26.061,17.7381,"Solvenya"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. We're running out of food and have no idea when help will arrive.",-26.1352,17.4808,"Solvenya"
"#IoSTSHelp Out of fuel. We can't run the generator anymore. No roof over our heads. Sleeping outside since the storm hit. Medical supplies are gone. Can't treat wounds or illnesses.",-25.343,17.5772,"Solvenya"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Our shelter didn't survive the storm. We're exposed to the elements. No fuel for cooking or heating. Conditions are worsening.",-25.5265,17.7715,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. There's nothing left to eat. Everyone is hungry and exhausted. Still no place to sleep. We’re making do with broken walls and tarps.",-25.303,17.8405,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. Still waiting for help—someone needs urgent medical care.",-26.0955,17.8866,"Solvenya"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. We've gone two days without a proper meal. People are getting weak. Still no place to sleep. We’re making do with broken walls and tarps.",-25.9237,17.8808,"Solvenya"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps. No access to medicine or care. We're worried someone might not make it.",-25.6873,17.595,"Solvenya"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. We lost everything, including our shelter. Nowhere to go. Can't reach anyone because we’re out of fuel and power.",-27.3555,16.0942,"Paxora"
"Thankful for the first responders and emergency crews working around the clock. Let’s keep the community spirit strong.",-27.4665,15.9941,"Paxora"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. No access to medicine or care. We're worried someone might not make it. No fuel for cooking or heating. Conditions are worsening.",-27.2839,16.0149,"Paxora"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening.",-27.3226,15.3712,"Paxora"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. We've gone two days without a proper meal. People are getting weak.",-27.4717,15.8337,"Paxora"
"Community centers are opening for anyone in need after the storm. Shelters remain open to those in need.",-27.315,15.5399,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. No roof over our heads. Sleeping outside since the storm hit. Can't reach anyone because we’re out of fuel and power.",-27.4686,16.0554,"Paxora"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements.",-27.5128,15.9186,"Paxora"
"Lots of damage in the area, but thankful everyone I know is safe. More updates will follow as information becomes available.",-27.2752,15.9286,"Paxora"
"#IoSTSHelp We have a medical emergency and no way to get help.",-27.4305,16.1271,"Paxora"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. Can't reach anyone because we’re out of fuel and power. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.2785,15.8477,"Paxora"
"Lots of damage in the area, but thankful everyone I know is safe. Hope everyone is staying safe and checking in on each other.",-27.0824,14.4093,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit.",-27.398,14.6363,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit.",-27.1411,14.4399,"Justitia"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.0295,14.7392,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently.",-27.3583,15.0714,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Out of fuel. We can't run the generator anymore.",-27.0101,14.3002,"Justitia"
"The storm has passed, and cleanup efforts are beginning across the region. Let’s keep the community spirit strong.",NA,NA,"Justitia"
"Storm coverage continues—stay tuned for updates and official instructions. Shelters remain open to those in need.",-27.1153,14.6977,"Justitia"
"Road closures are in effect due to debris and fallen trees from the storm. Hope everyone is staying safe and checking in on each other.",-26.779,14.6336,"Justitia"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps.",-27.0874,14.4018,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. We have a medical emergency and no way to get help.",-26.9175,14.477,"Justitia"
"Power crews are working hard to restore electricity after the storm. Let’s keep the community spirit strong.",-26.9904,14.6677,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently.",-26.7869,14.503,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. We're running out of food and have no idea when help will arrive.",-27.3001,14.8427,"Justitia"
"Community centers are opening for anyone in need after the storm. We're in this together, let's support one another.",-27.3132,14.4575,"Justitia"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",NA,NA,"Justitia"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak.",-27.3135,14.9721,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Food supplies are completely gone. We need assistance urgently. Our shelter didn't survive the storm. We're exposed to the elements.",-27.3874,14.7595,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. Out of fuel. We can't run the generator anymore.",-26.8343,14.6793,"Justitia"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.8977,14.5218,"Justitia"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. Our shelter didn't survive the storm. We're exposed to the elements.",-27.1058,14.3269,"Justitia"
"Schools will remain closed tomorrow as cleanup continues. Let’s keep the community spirit strong.",-27.3114,14.6641,"Justitia"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. Fuel is completely gone, and we're cut off from any resupply.",-27.2209,14.62,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Our shelter didn't survive the storm. We're exposed to the elements. We're running out of food and have no idea when help will arrive.",-26.8775,14.4935,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help. There's nothing left to eat. Everyone is hungry and exhausted.",NA,NA,"Justitia"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently.",-27.4163,14.5214,"Justitia"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left.",-27.0239,14.5919,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. No food left. We're trying to ration what little we have. No roof over our heads. Sleeping outside since the storm hit.",-26.9398,14.5063,"Justitia"
"Road closures are in effect due to debris and fallen trees from the storm. We're in this together, let's support one another.",-27.0161,14.7549,"Justitia"
